Year,Round,Paper,Score,Rank,Category,Offers
2025,Round 1,CS,931,29,GEN,"IIT Madras CSE TA, IIT Bombay CSE TA, IISC CSE TA, IIT Delhi CSE TA"
2025,Round 1,CS,914,49,GEN,IISc CSE TA
2025,Round 1,CS,914,49,GEN,IISc CSE TA
2025,Round 1,CS,907,39,EWS,"IIT Bombay cse ta, Iit Delhi ta, IIT kanpur ta, IIT MADRAS TA"
2025,Round 1,CS,901,70,GEN,IIT Kanpur CSE TA
2025,Round 1,CS,901,70,GEN,IIT Roorkee CSE TA
2025,Round 1,CS,893,83,GEN,"IIT KANPUR CSE TA, IIT HYDERABAD CSE TA, IIT ROORKEE AI TA, IIT GUWAHATI CSE TA"
2025,Round 1,CS,885,91,GEN,IIT Kanpur cse TA
2025,Round 1,CS,885,91,GEN,IIT Kanpur MTECH CSE TA
2025,Round 1,CS,881,95,GEN,"IIT Guwahati mtech cse, IIT Hyderabad mtech cse"
2025,Round 1,CS,872,114,SC,"IISC B CSA, IITB CSE, IIT M CSE, IIT KGP CSE"
2025,Round 1,CS,868,119,GEN,"IIT Guwahati CS, IIT Kharagpur CS"
2025,Round 1,CS,867,36,GEN,IISc
2025,Round 1,CS,866,95,GEN,"Iisc CSA, Iit KGP CSE"
2025,Round 1,CS,860,130,OBC,"IIT Madras CSE HTTA, IIT Bombay CSE TA, IIT Kanpur CSE TA, IIT Delhi CSE TA"
2025,Round 1,CS,856,151,GEN,"IIT Kharagpur AI TA, IIT Guwahati CSE TA, IIT Guwahati DS TA"
2025,Round 1,CS,853,154,OBC,"IISc CSA , IIT B CSE TA, IIT M CSE HTTA"
2025,Round 1,CS,850,163,EWS,"IISc Mtech AI , IIT Kanpur Mtech CSE , IIT Kharagpur Mtech CSE , IIT Hyd Mtech CSE , IIT Guwahati Mtech CSE"
2025,Round 1,CS,847,173,GEN,"IIT Kharagpur AI TA, IIT Delhi CTech TA"
2025,Round 1,CS,837,204,GEN,IIT KHARAGPUR TECHNOLOGY INNOVATION AND ENTREPRENEURSHIP
2025,Round 1,CS,837,204,GEN,IIT KGP TECHNOLOGY INNOVATION AND ENTREPRENEURSHIP
2025,Round 1,CS,835,209,OBC,IISC CSA IITK CSE IITG CSE
2025,Round 1,CS,835,209,GEN,"Iit bhu ai, Iit delhi computer tech"
2025,Round 1,CS,833,215,GEN,"IIT DELHI CYBER SECURITY, IIT ROORKEE MATHEMATICS AND COMPUTING"
2025,Round 1,CS,831,221,GEN,"IISc Bangalore RAS , IIT Madras Clinical (HTTA)"
2025,Round 1,CS,827,241,EWS,"IISc Bangalore MTECH AI, IIT Kanpur CSE, IIT Hyderabad CSE TA, IIT Guwahati CSE"
2025,Round 1,CS,827,241,EWS,"IISc Bangalore Mtech AI, IIT kanpur MTECH CSE, IIT Hyderabad MTECH CSE TA, IIT GUWAHATI MTECH CSE TA"
2025,Round 1,CS,826,249,GEN,"IITM clinical engineering , IITR applied mathematics and scientific computing"
2025,Round 1,CS,820,56,GEN,Iit Madras (applied only this)
2025,Round 1,CS,807,317,OBC,"IITKGP CSE, IITG CSE"
2025,Round 1,CS,807,317,OBC,"IIT KGP CSE TA, IIT G CSE TA"
2025,Round 1,CS,807,317,OBC,"IITKGP CSE TA, IITG CSE TA"
2025,Round 1,CS,807,317,OBC,"IITKGP CSE TA, IITG CSE TA"
2025,Round 1,CS,806,326,GEN,"IIT tirupati cse , IIT gandhinagar AI"
2025,Round 1,CS,804,267,GEN,IIT Roorkee(MNC)
2025,Round 1,CS,802,336,GEN,IIT BHU IOT
2025,Round 1,CS,802,336,OBC,Iit kharagpur Mtech CSE
2025,Round 1,CS,800,342,EWS,IIT KGP AI
2025,Round 1,CS,797,351,OBC,IIT Kharagpur AI
2025,Round 1,CS,797,351,OBC,IIT Kharagpur AI
2025,Round 1,CS,789,400,GEN,IIT GN
2025,Round 1,CS,781,435,OBC,IIT DELHI CYBER SECURITY
2025,Round 1,CS,780,444,OBC,IIT Bhubaneswar CS
2025,Round 1,CS,772,486,SC,"IISc Bangalore, IIT B TA, IIT M HTTA, IIT H CSE, IIT H NIS, IIT D Computer tech, IIT Kgp CSE"
2025,Round 1,CS,767,532,GEN,IISC bangalore (AI TA)
2025,Round 1,CS,764,561,GEN,IIT Dhanbad AIDS
2025,Round 1,CS,756,622,EWS,IIT kanpur (mtech in AI and sustainibility)
2025,Round 1,CS,756,622,OBC,"IIT mandi, IIT dhanbad, IIT gandhinagar"
2025,Round 1,CS,756,622,EWS,IIT Madras MS CSE (nothing through COAP)
2025,Round 1,CS,754,648,GEN,IIT Patna mtech cse
2025,Round 1,CS,747,692,GEN,IIT Jammu CSE TA
2025,Round 1,CS,747,692,GEN,IIT Jammu CSE TA
2025,Round 1,CS,744,724,OBC,IIT Kgp Innovation and Enterpreneurship
2025,Round 1,CS,744,724,OBC,IITKGP Q&R engineering
2025,Round 1,CS,744,724,OBC,IIT Roorkee Applied Mathematics and Scientific Computing
2025,Round 1,CS,743,747,GEN,no offer
2025,Round 1,CS,741,761,OBC,IIT Gandinagar AI
2025,Round 1,CS,741,761,OBC,IIT Gandhinagar AI TA
2025,Round 1,CS,727,911,GEN,"IIT Tirupati DSAI, IIT Bhilai CSE, IIT Bhilai DSAI, IIT Dharwad CSE TA, IIT Jammu CSE"
2025,Round 1,CS,727,932,GEN,"IIT Tirupati CSE, IIT Bhilai CSE"
2025,Round 1,CS,727,911,GEN,"IIT Tirupati , IIT Bhilai DSAI, IIT Bhilai CSE, IIT Dharwad CS TA, IIT Jammu CSE"
2025,Round 1,CS,722,983,OBC,IIT Dhanbad AI
